Date,Header,Description,Category,URLS
29 Apr 2020,Barclays profit falls sharply as coronavirus hurts borrowers,"[LONDON] Barclays set aside £2.1 billion (S$3.7 billion) to cover a likely spike in loan losses as thousands of its corporate and consumer borrowers battle to cope with the financial fallout from the Covid-19 pandemic.
",banking-finance,https://www.businesstimes.com.sg/banking-finance/barclays-profit-falls-sharply-as-coronavirus-hurts-borrowers
29 Apr 2020,StanChart eyes quick recovery as profit falls 12% on coronavirus crisis,"[LONDON] Standard Chartered (StanChart) on Wednesday said it expects virus-battered economies to recover later this year, striking an optimistic note after increased credit impairment and provisions for future loan losses pushed first-quarter profit down 12 per cent.",banking-finance,https://www.businesstimes.com.sg/banking-finance/stanchart-eyes-quick-recovery-as-profit-falls-12-on-coronavirus-crisis
29 Apr 2020,"Deutsche Bank swings to Q1 loss amid restructuring, coronavirus outbreak","[FRANKFURT] Deutsche Bank swung to a loss in the first quarter as the bank undergoes a costly overhaul and battles pressure on revenue amid the coronavirus crisis, the German lender said on Wednesday.
",banking-finance,https://www.businesstimes.com.sg/banking-finance/deutsche-bank-swings-to-q1-loss-amid-restructuring-coronavirus-outbreak
29 Apr 2020,Indonesian startup Stoqo becomes latest casualty of coronavirus,"[JAKARTA] Stoqo Teknologi Indonesia, an online platform that supplies fresh ingredients to food outlets, is shutting down, becoming the latest casualty of the coronavirus outbreak.
",garage,https://www.businesstimes.com.sg/garage/indonesian-startup-stoqo-becomes-latest-casualty-of-coronavirus
29 Apr 2020,US government reveals details of sunlight study on coronavirus,"[WASHINGTON] The US Department of Homeland Security revealed to AFP on Tuesday new technical details regarding its highly anticipated study into how ultraviolet radiation destroys the new coronavirus, saying that its experiment had accurately mimicked natural sunlight.",government-economy,https://www.businesstimes.com.sg/government-economy/us-government-reveals-details-of-sunlight-study-on-coronavirus
29 Apr 2020,"More than 2,200 US coronavirus deaths in 24 hours: tracker","[WASHINGTON] The number of daily deaths from coronavirus rose again in the US on Tuesday, a tally from Johns Hopkins University showed, as the country's total fatalities surpassed those of Americans in the Vietnam War.
",government-economy,https://www.businesstimes.com.sg/government-economy/more-than-2200-us-coronavirus-deaths-in-24-hours-tracker
29 Apr 2020,US coronavirus deaths top Vietnam War toll: tracker,"[WASHINGTON] The number of US deaths from the novel coronavirus has surpassed the toll of Americans killed in the Vietnam War, the Johns Hopkins University tracker showed on Tuesday.
",government-economy,https://www.businesstimes.com.sg/government-economy/us-coronavirus-deaths-top-vietnam-war-toll-tracker
29 Apr 2020,IMF approves US$3.4b for Nigeria to address coronavirus,"[WASHINGTON] The IMF board on Tuesday approved US$3.4 billion in emergency financing for Nigeria to help deal with the economic damage inflicted by the coronavirus pandemic.
",government-economy,https://www.businesstimes.com.sg/government-economy/imf-approves-us34b-for-nigeria-to-address-coronavirus
29 Apr 2020,Ford says 2nd-quarter loss due to coronavirus to exceed US$5b,"[DETROIT] Ford Motor Co on Tuesday posted a US$2 billion first-quarter loss due to the impact of the coronavirus pandemic and said it expected its loss in the second quarter to more than double as it weathers a shutdown of its North American plants.
",transport,https://www.businesstimes.com.sg/transport/ford-says-2nd-quarter-loss-due-to-coronavirus-to-exceed-us5b
29 Apr 2020,"BP hikes debt, keeps dividend as coronavirus hammers profits","BP'S first-quarter profit tumbled by two thirds and its debt climbed to its highest in at least five years as the novel coronavirus crisis hammered oil demand, but the energy major kept its dividend despite warning of exceptional uncertainty.
",energy-commodities,https://www.businesstimes.com.sg/energy-commodities/bp-hikes-debt-keeps-dividend-as-coronavirus-hammers-profits
29 Apr 2020,Merck sees US$2.1b coronavirus hit to 2020 sales,"[NEW JERSEY] Merck & Co said on Tuesday it expects the coronavirus pandemic to reduce 2020 sales by more than US$2 billion, and the US drugmaker lowered its profit forecast as a big drop in doctors' office visits during the outbreak will take a hefty toll, sending its shares down more than 3 per cent.",consumer,https://www.businesstimes.com.sg/consumer/merck-sees-us21b-coronavirus-hit-to-2020-sales
28 Apr 2020,PepsiCo scraps forecast due to coronavirus crisis,"[BENGALURU] PepsiCo reported a rise in first-quarter revenue, but ditched its full-year forecast on Tuesday, citing uncertainty around the globe due to the novel coronavirus pandemic.",consumer,https://www.businesstimes.com.sg/consumer/pepsico-scraps-forecast-due-to-coronavirus-crisis
28 Apr 2020,Marks & Spencer strengthens liquidity to cope with coronavirus impact,"[LONDON] British retailer Marks & Spencer said it was planning for a slow return to shopping and had taken steps to shore up its finances for 18 months, including scrapping next year's dividend, to cope with the impact of the coronavirus crisis
",consumer,https://www.businesstimes.com.sg/consumer/marks-spencer-strengthens-liquidity-to-cope-with-coronavirus-impact
28 Apr 2020,Trump was warned about coronavirus repeatedly in Jan and Feb: report,"[WASHINGTON] US President Donald Trump was repeatedly warned about the dangers of the novel coronavirus in intelligence briefings in January and February, The Washington Post reported late Monday.
",government-economy,https://www.businesstimes.com.sg/government-economy/trump-was-warned-about-coronavirus-repeatedly-in-jan-and-feb-report
28 Apr 2020,US airlines announce new policies to slow coronavirus spread,"[WASHINGTON] Major US airlines announced on Monday new health and safety measures to protect in-flight personnel and passengers from the coronavirus, even as states begin lifting restrictions.
",transport,https://www.businesstimes.com.sg/transport/us-airlines-announce-new-policies-to-slow-coronavirus-spread
